year,state,crop,mean_yield_per_acre
2017,SOUTH CAROLINA,Corn,116.33333333333333
2017,SOUTH DAKOTA,Corn,123.25
2017,TENNESSEE,Corn,144.66666666666666
2017,TEXAS,Corn,126.4375
2017,UTAH,Corn,100.5
2017,VERMONT,Corn,16.5
2017,VIRGINIA,Corn,124.0
2017,WASHINGTON,Corn,192.83333333333334
2017,WEST VIRGINIA,Corn,86.0
2017,WISCONSIN,Corn,141.5
2017,WYOMING,Corn,89.5
2018,ALABAMA,Corn,144.5
2018,ARIZONA,Corn,124.5
2018,ARKANSAS,Corn,154.33333333333334
2018,CALIFORNIA,Corn,153.08333333333334
2018,COLORADO,Corn,116.15
2018,CONNECTICUT,Corn,19.0
2018,DELAWARE,Corn,142.875
2018,FLORIDA,Corn,89.0
2018,GEORGIA,Corn,146.5
2018,IDAHO,Corn,172.5
2018,ILLINOIS,Corn,178.83333333333334
2018,INDIANA,Corn,162.66666666666666
2018,IOWA,Corn,171.08333333333334
2018,KANSAS,Corn,120.05
2018,KENTUCKY,Corn,151.16666666666666
2018,LOUISIANA,Corn,146.16666666666666
2018,MAINE,Corn,20.0
2018,MARYLAND,Corn,137.0
2018,MASSACHUSETTS,Corn,20.0
2018,MICHIGAN,Corn,136.91666666666666
2018,MINNESOTA,Corn,160.16666666666666
2018,MISSISSIPPI,Corn,157.66666666666666
2018,MISSOURI,Corn,118.16666666666667
2018,MONTANA,Corn,52.5
2018,NEBRASKA,Corn,171.6375
2018,NEVADA,Corn,26.0
2018,NEW HAMPSHIRE,Corn,21.0
2018,NEW JERSEY,Corn,80.0
2018,NEW MEXICO,Corn,104.5
2018,NEW YORK,Corn,138.0
2018,NORTH CAROLINA,Corn,100.83333333333333
2018,NORTH DAKOTA,Corn,125.0
2018,OHIO,Corn,159.66666666666666
2018,OKLAHOMA,Corn,110.0
2018,OREGON,Corn,109.0
2018,OTHER STATES,Corn,76.91666666666667
2018,PENNSYLVANIA,Corn,130.83333333333334
2018,RHODE ISLAND,Corn,21.0
2018,SOUTH CAROLINA,Corn,105.66666666666667
2018,SOUTH DAKOTA,Corn,142.91666666666666
2018,TENNESSEE,Corn,147.0
2018,TEXAS,Corn,99.125
2018,UTAH,Corn,102.5
2018,VERMONT,Corn,19.0
2018,VIRGINIA,Corn,126.16666666666667
2018,WASHINGTON,Corn,189.33333333333334
2018,WEST VIRGINIA,Corn,85.5
2018,WISCONSIN,Corn,150.66666666666666
2018,WYOMING,Corn,94.0
2019,ALABAMA,Corn,131.5
2019,ARIZONA,Corn,130.0
2019,ARKANSAS,Corn,149.66666666666666
2019,CALIFORNIA,Corn,141.16666666666666
2019,COLORADO,Corn,121.5
2019,CONNECTICUT,Corn,21.0
2019,DELAWARE,Corn,141.2
2019,FLORIDA,Corn,90.5
2019,GEORGIA,Corn,142.33333333333334
2019,IDAHO,Corn,177.16666666666666
2019,ILLINOIS,Corn,153.33333333333334
2019,INDIANA,Corn,140.5
2019,IOWA,Corn,164.33333333333334
2019,KANSAS,Corn,115.08333333333333
2019,KENTUCKY,Corn,150.5
2019,LOUISIANA,Corn,143.5
2019,MAINE,Corn,19.0
2019,MARYLAND,Corn,141.33333333333334
2019,MASSACHUSETTS,Corn,20.0
2019,MICHIGAN,Corn,129.08333333333334
2019,MINNESOTA,Corn,146.66666666666666
2019,MISSISSIPPI,Corn,148.16666666666666
2019,MISSOURI,Corn,133.5
2019,MONTANA,Corn,59.0
2019,NEBRASKA,Corn,157.5
2019,NEVADA,Corn,25.0
2019,NEW HAMPSHIRE,Corn,20.0
2019,NEW JERSEY,Corn,88.5
2019,NEW MEXICO,Corn,77.5
2019,NEW YORK,Corn,130.83333333333334
2019,NORTH CAROLINA,Corn,94.33333333333333
2019,NORTH DAKOTA,Corn,121.58333333333333
2019,OHIO,Corn,137.33333333333334
2019,OKLAHOMA,Corn,119.83333333333333
2019,OREGON,Corn,130.5
2019,OTHER STATES,Corn,112.35000000000001
2019,PENNSYLVANIA,Corn,132.83333333333334
2019,RHODE ISLAND,Corn,20.0
2019,SOUTH CAROLINA,Corn,93.5
2019,SOUTH DAKOTA,Corn,129.91666666666666
2019,TENNESSEE,Corn,149.16666666666666
2019,TEXAS,Corn,119.5
2019,UTAH,Corn,83.5
2019,VERMONT,Corn,18.0
2019,VIRGINIA,Corn,124.5
2019,WASHINGTON,Corn,181.66666666666666
2019,WEST VIRGINIA,Corn,92.5
2019,WISCONSIN,Corn,139.58333333333334
2019,WYOMING,Corn,73.5
2020,ALABAMA,Corn,139.0
2020,ARIZONA,Corn,115.5
2020,ARKANSAS,Corn,154.16666666666666
2020,CALIFORNIA,Corn,141.33333333333334
2020,COLORADO,Corn,103.16666666666667
2020,CONNECTICUT,Corn,16.0
